source_id,edge_id,edge_kind,length_km,peak_inflow_kw,geometry_json,original_road_segments,building_id
H2,road::00562,road,0.043596841863522945,383.2641126077389,"[[10.2107535,50.0370282],[10.2108141,50.0369709],[10.2108748,50.0369135],[10.2109416,50.0368503],[10.2110461,50.0367516],[10.2110925,50.0367025]]",5,
H2,road::00563,road,0.04691275350176836,382.3025126205258,"[[10.2107535,50.0370282],[10.2108491,50.0370697],[10.2112901,50.0372706]]",2,
H2,road::00564,road,0.03541388080319613,111.80100933661349,"[[10.2107685,50.0377605],[10.2110483,50.0374978]]",1,
H2,road::00573,road,0.017192845908275283,26.377126950051373,"[[10.2108483,50.0374121],[10.2110483,50.0374978]]",1,
H2,road::00576,road,0.011696136593900789,558.2596739534448,"[[10.210959,50.0366418],[10.2110925,50.0367025]]",1,
H2,road::00579,road,0.14585810895100715,1668.6758432521508,"[[10.2110479,50.0384935],[10.2122305,50.0374251]]",1,
H2,road::00580,road,0.030620571009184777,360.96663085425,"[[10.2110483,50.0374978],[10.2112901,50.0372706]]",1,
H2,road::00581,road,0.13871912212293874,174.73669389715207,"[[10.2110925,50.0367025],[10.2111339,50.0366586],[10.2112311,50.036557],[10.2112517,50.0365373],[10.2114422,50.0363565],[10.2115338,50.0362812],[10.2116204,50.0362209],[10.2117411,50.0361503],[10.2117922,50.0361279],[10.211885,50.036094],[10.2119608,50.0360699],[10.2120873,50.0360438],[10.212146,50.0360357],[10.2122555,50.0360272],[10.2123427,50.0360294],[10.2124493,50.0360368],[10.2125549,50.0360482]]",16,
H2,road::00619,road,0.03646094456187873,21.256387171144496,"[[10.2121033,50.0369655],[10.2125279,50.0371468]]",1,
H2,road::00624,road,0.027797422690041422,811.5463588387161,"[[10.2122305,50.0374251],[10.2124526,50.03722]]",1,
H2,road::00635,road,0.009761376343893234,784.9211573958598,"[[10.2124526,50.03722],[10.2125279,50.0371468]]",1,
H2,road::00637,road,0.041323684199665714,27.988633769507164,"[[10.212516,50.0385005],[10.212838,50.038192]]",1,
H2,road::00638,road,0.007225340995559626,763.4477622977241,"[[10.2125279,50.0371468],[10.212546,50.0371292],[10.212566,50.0371131],[10.2125994,50.0371042]]",3,
H2,road::00641,road,0.04280390760073516,138.71864667736304,"[[10.2125549,50.0360482],[10.2127071,50.0360692],[10.2128427,50.0360913],[10.2129527,50.0361051],[10.2131422,50.0361184]]",4,
H2,road::00643,road,0.016074628020960033,132.53045544425203,"[[10.2125687,50.036961],[10.2125994,50.0371042]]",1,
H2,road::00644,road,0.07278280121103466,111.97595827801548,"[[10.2125687,50.036961],[10.2123671,50.0368215],[10.2123932,50.0367948],[10.2124912,50.0366887],[10.2126069,50.0365287],[10.2126293,50.0364673],[10.2126322,50.0363978]]",6,
